aback~Unfazed|surprised
abacus~Lipper|supercomputer
abalone~prawn|crab
abandon~impunity|gusto|give up|reject
abandonment~neglect|child abuse
abate~subside|wane
abatement~tax incentive|tax credit
abattoir~slaughterhouse|Consulate-General
abbey~Monastery|Convent
abbot~lama|monk
abbreviate~garble|Ftruncate
abbreviated~shortened|truncated
abbreviation~acronym|initial
abdicate~leave office|retrench
abdication~abrogation|usurpation
abdomen~stomach|buttock
abdominal~pelvic|intestinal
abduct~kidnap|kill
abduction~kidnapping|rape
abductor~kidnapper|captor
aberrant~risk-taking|monopolistic
aberration~fluke|anomaly
abet~orchestrate|instigate
abhor~condone|tolerate
abhorrence~proscription|visual image
abhorrent~repugnant|reprehensible
abide~adhere to|comply with
abiding~deep-seated|enduring
ability~skill|capability
abject~utter|unspeakable
ablaze~afire|aglow
able~unable|willing
ably~sloppily|superbly
abnormal~normal|cancerous
abnormality~defect|disorder
abnormally~unusually|exceptionally
abolish~repeal|phase out
abolishment~abolition|toppling
abolition~abolishment|repeal
abolitionist~plantation owner|Islamist
abominable~atrocious|deplorable
abomination~copout|travesty
abort~fall through|postpone
aborted~abortive|foiled
abortion~gun control|death penalty
abortionist~black person|speakeasy
abortive~aborted|foiled
abound~crop up|exist
aboveboard~lawful|communicative
aboveground~underground|electrified
abrasion~laceration|bruise
abrasive~electric current|elastic|brash|combative
abreast~informed|cognizant
abridge~infringe|tread on
abroad~overseas|annually
abrogate~amend|annul
abrogation~nullification|abdication
abrupt~sudden|drastic
abruptly~suddenly|unexpectedly
abscess~lesion|ulcer
abscond~procrastinate|perish
absence~lack|suspension
absent~missing|removed|recuse|exclude
absentee~DEADBEAT|absentee ballot
absenteeism~cancer death|homeownership
absentia~juvenile court|superior court
absinthe~cranberry juice|whisky
absolute~utter|utmost
absolutely~totally|utterly
absolutes~blinder|backsliding
absolution~forgiveness|knighthood
absolve~exonerate|acquit
absorb~account for|generate
absorbed~Seduced|engrossed
absorbing~engrossing|riveting
absorption~metabolism|intake
abstain~refrain|abstain from
abstention~no-decisions|great-grandchildren
abstinence~nonviolence|celibacy
abstract~past tense|abstraction|expressionist|Cubist|annotate|square with
abstraction~expressionism|surrealism
abstruse~supply-side|knotty
absurd~ridiculous|baseless
absurdist~gallows|Neil Simon
absurdity~irony|unfairness
absurdly~ridiculously|impossibly
abundance~dearth|plenty
abundant~plentiful|rich
abundantly~amply|graphically
abuse~corruption|violation|harass|molest
abused~neglected|assaulted
abuser~drug addict|drug user
abusive~violent|rude
abut~adjoin|straddle
abuzz~scepticism|toying
abysmal~dismal|horrendous
abyss~morass|oblivion
ac~Torino|Napoli
academia~Journalism|show business
academic~scholar|educator|educational|scientific
academically~artistically|technically
academician~scholar|academic
academy~institute|university
accede~acquiesce|genuflect
accelerate~facilitate|improve
accelerated~fast-track|rapid
accelerating~breakneck|inexorable
acceleration~deceleration|upturn
accelerator~gas pedal|particle accelerator
